IdNo Group Gender Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1 Group3 Male 3,77 22,11 67,21 79,58 78,27 76,47 89,59 15,51
2 Group2 Female 3,76 19,88 61,10 71,23 70,83 76,13 88,71 15,52
3 Group1 Female 3,96 22,36 59,89 71,44 71,52 73,62 88,33 15,61
4 Group2 Female 3,92 19,04 61,00 70,36 72,31 72,09 87,51 15,57
5 Group2 Female 4,13 22,97 60,89 69,12 70,59 69,06 88,76 16,58
6 Group1 Female 3,64 18,45 57,87 67,29 66,96 67,41 86,54 14,33
7 Group3 Female 4,36 22,45 62,42 74,30 73,10 73,91 89,07 17,26
8 Group1 Female 3,99 18,39 60,64 70,71 71,56 71,26 88,85 14,83
9 Group1 Male 3,93 19,59 57,74 65,62 65,89 68,42 88,55 16,57
10 Group3 Male 3,89 21,49 63,99 73,61 74,28 73,19 86,95 14,64
11 Group3 Male 4,38 22,70 62,67 74,27 72,60 72,52 90,32 15,89
12 Group2 Male 3,86 21,16 60,75 68,79 72,07 69,88 89,15 14,35
13 Group3 Male 4,02 NA 62,96 71,35 72,39 75,21 89,63 15,41
14 Group3 Male 3,92 20,93 63,36 72,86 76,20 75,75 89,14 15,34
15 Group4 Female 4,55 24,67 66,19 78,91 78,88 77,81 87,96 15,72
16 Group1 Male 3,75 17,06 59,88 68,95 69,50 70,04 88,45 14,69
17 Group1 Male 3,98 19,16 60,08 71,06 71,67 70,92 87,37 16,53
18 Group3 Male 3,21 17,98 64,96 76,02 77,47 76,76 89,09 14,74
19 Group4 Female 4,27 23,19 64,51 75,38 75,61 76,42 89,77 16,09
20 Group3 Male 3,79 20,95 NA 72,67 75,93 74,80 88,23 15,02
21 Group3 Male 4,53 25,04 63,71 73,80 77,38 77,49 88,55 17,51
22 Group3 Male 4,05 21,06 62,71 74,14 73,92 76,86 88,84 15,45
23 Group2 Male 3,92 21,05 61,41 72,02 72,14 71,68 90,65 15,18
24 Group3 Male 4,28 24,38 66,81 78,17 79,04 78,81 91,64 16,74
25 Group2 Female 3,79 20,20 61,02 71,42 NA 75,18 87,60 15,30
26 Group2 Female 4,80 22,31 61,60 72,73 73,15 67,66 88,16 16,23
27 Group2 Female 4,07 23,54 61,80 74,75 71,48 68,48 89,60 16,10
28 Group3 Male 3,79 22,72 63,69 72,58 75,34 76,12 90,24 16,25
29 Group1 Female 4,13 22,39 60,03 70,19 71,22 66,94 89,03 16,38
30 Group2 Female 4,11 23,97 60,80 71,24 71,33 73,93 87,72 15,80
31 Group3 Male 3,73 21,31 64,66 74,71 74,77 79,78 90,28 15,46
32 Group1 Male 3,90 17,49 55,68 66,30 66,59 65,43 85,25 15,33
33 Group4 Male 4,31 24,02 64,77 75,40 75,25 74,43 90,72 15,69
34 Group3 Female 4,05 21,61 62,06 71,99 73,60 67,26 89,29 15,70
35 Group4 Female 4,01 18,13 64,76 74,57 76,51 75,11 90,05 16,12
36 Group3 Male 3,70 17,26 63,82 73,35 75,34 73,22 90,14 16,23
37 Group1 Male 4,11 20,06 60,09 70,29 71,74 71,52 87,00 15,97
38 Group2 Male 3,75 20,90 61,50 71,47 72,02 73,62 89,72 14,68
